categoriaActual,cantidadPartidas,rubroPropuestoPrincipal,rubrosDistintosAsociados,otrosRubrosAsociados,partidasConfianzaBaja,partidasConfianzaMedia,esCategoriaMixtaOTransitoria
Accesibilidad,2,Accesibilidad universal,1,,0,0,false
Aislación,2,Aislación y eficiencia energética,1,,0,0,false
Albañilería,15,Albañilería,2,Hormigón y fundaciones,0,0,true
Áreas Exteriores,14,Obras exteriores y urbanización,2,Paisajismo y riego,0,0,true
Carpintería,10,"Puertas, ventanas y carpinterías",1,,0,0,false
Climatización,8,Climatización y ventilación,1,,0,0,false
Corrientes Débiles,3,Corrientes débiles y seguridad electrónica,1,,0,0,false
Demolición,8,Demoliciones y desmontajes,1,,0,0,false
Eficiencia Energética,2,Aislación y eficiencia energética,1,,0,0,false
Eléctrica,7,Instalaciones eléctricas,1,,0,0,false
Equipamiento,2,Equipamiento y mobiliario,1,,0,0,false
Equipamiento Comercial,4,Equipamiento y mobiliario,1,,0,0,false
Estructuras Metálicas,18,Estructuras metálicas,1,,0,0,false
Fachadas y Vidrios,2,Fachadas y cerramientos,2,"Puertas, ventanas y carpinterías",0,0,true
Gas,9,Instalaciones de gas,2,Servicios profesionales,0,0,true
Hormigón Armado,16,Hormigón y fundaciones,1,,0,0,false
Hormigón y Albañilería,5,Hormigón y fundaciones,1,,0,0,false
Impermeabilización,4,Impermeabilización,1,,0,0,false
Impermeable,4,Impermeabilización,1,,0,0,false
Instalaciones Eléctricas,7,Instalaciones eléctricas,1,,0,0,false
Instalaciones Sanitarias,8,Instalaciones sanitarias,2,Alcantarillado y drenaje,0,0,true
Madera Mant.,2,Techumbres y aguas lluvias,1,,0,0,false
Madera NC,11,Construcción liviana,3,Techumbres y aguas lluvias | Cielos y terminaciones,0,0,true
Mantención Eléctrica,3,Instalaciones eléctricas,1,,0,0,false
Mantención Pintura,4,Pinturas y recubrimientos,1,,0,0,false
Mantención Preventiva,3,Mantención general,1,,0,0,false
Mantención Sanitaria,3,Instalaciones sanitarias,2,Alcantarillado y drenaje,0,0,true
Mantención Techumbres,2,Techumbres y aguas lluvias,1,,0,0,false
Metalcon Estructural,12,Estructuras metálicas,1,,0,0,false
Metalcon Mant.,1,Techumbres y aguas lluvias,1,,0,0,false
Metalcon NC,12,Construcción liviana,3,Techumbres y aguas lluvias | Cielos y terminaciones,0,0,true
Metalcon Rem.,2,Construcción liviana,1,,0,0,false
Mov. de Tierras,9,Movimiento de tierras,1,,0,0,false
Obras Exteriores,8,Obras exteriores y urbanización,1,,0,0,false
Obras Provisorias,8,Obras preliminares,1,,0,0,false
Ojalaería,3,Techumbres y aguas lluvias,1,,0,0,false
Pavimentos,7,Obras exteriores y urbanización,1,,0,0,false
Pintura,7,Pinturas y recubrimientos,1,,0,0,false
Piscinas,9,Piscinas,1,,0,0,false
Pisos,14,Pisos y revestimientos,1,,0,0,false
Protección Incendio,3,Protección contra incendios,1,,0,0,false
Regularización,2,Servicios profesionales,1,,0,0,false
Reparaciones Generales,2,"Puertas, ventanas y carpinterías",2,Cielos y terminaciones,0,0,true
Retiro de Escombros,2,Demoliciones y desmontajes,1,,0,0,false
Sanitario,14,Instalaciones sanitarias,2,Alcantarillado y drenaje,0,0,true
Seguridad,5,Corrientes débiles y seguridad electrónica,1,,0,0,false
Servicios,1,Servicios profesionales,1,,0,0,false
Servicios Generales,4,Servicios profesionales,2,"Limpieza, pruebas y entrega",0,0,true
Tabiquería,1,Protección contra incendios,1,,0,0,false
Techumbres,5,Techumbres y aguas lluvias,2,Impermeabilización,0,0,true
Varios,2,Corrientes débiles y seguridad electrónica,2,"Puertas, ventanas y carpinterías",0,0,true
